Macro-segment,sub_dept,transactions,exposure_pct
Garden Zones & Outdoor Pest Hygiene,400 FENCE AND TIMBER PAINT,172,0.015407588954191986
Garden Zones & Outdoor Pest Hygiene,400 FENCE AND TIMBER PAINT,172,0.015407588954191986
Garden Zones & Outdoor Pest Hygiene,400 ANIMAL CONTROL,170,0.015228430943096729
Garden Zones & Outdoor Pest Hygiene,402 AUTO TOOLS,164,0.014690956909810962
Garden Zones & Outdoor Pest Hygiene,400 INSULATION,160,0.01433264088762045
Garden Zones & Outdoor Pest Hygiene,400 BUILDING WRAP,157,0.014063903870977567
Garden Zones & Outdoor Pest Hygiene,400 BUILDING WRAP,157,0.014063903870977567
Garden Zones & Outdoor Pest Hygiene,400 MIX AND MATCH,155,0.013884745859882312
Garden Zones & Outdoor Pest Hygiene,400 SHAVING,149,0.013347271826596544
Garden Zones & Outdoor Pest Hygiene,400 WOODWORKING AND ROTARY,149,0.013347271826596544
Garden Zones & Outdoor Pest Hygiene,401 FLOORING ADHESIVE,148,0.013257692821048916
Garden Zones & Outdoor Pest Hygiene,400 RIVETS,145,0.012988955804406031
Garden Zones & Outdoor Pest Hygiene,400 DECKING TIMBER,143,0.012809797793310776
Garden Zones & Outdoor Pest Hygiene,400 MASONRY TOOLS,142,0.012720218787763152
Garden Zones & Outdoor Pest Hygiene,400 GROUT AND SEALER,141,0.012630639782215522
Garden Zones & Outdoor Pest Hygiene,400 TROLLEYS,138,0.01236190276557264
Garden Zones & Outdoor Pest Hygiene,401 TOOLS AND ACCESSORIES,137,0.012272323760025012
Garden Zones & Outdoor Pest Hygiene,400 WALL SYSTEMS AND HARDWARE,136,0.012182744754477382
Garden Zones & Outdoor Pest Hygiene,402 APPLIANCES,133,0.011914007737834499
Garden Zones & Outdoor Pest Hygiene,400 MULTIFUNCTION TOOL ACCESS,130,0.011645270721191616
Garden Zones & Outdoor Pest Hygiene,401 DOOR SECURITY,125,0.011197375693453476
Garden Zones & Outdoor Pest Hygiene,400 EXTERIOR WATERPROOFING,122,0.010928638676810593
Garden Zones & Outdoor Pest Hygiene,400 KITCHEN TAPS,121,0.010839059671262965
Garden Zones & Outdoor Pest Hygiene,400 PANELS,118,0.010570322654620082
Garden Zones & Outdoor Pest Hygiene,401 DOOR SECURITY,118,0.010570322654620082
Garden Zones & Outdoor Pest Hygiene,402 TOOL BAGS AND BELTS,116,0.010391164643524827
Garden Zones & Outdoor Pest Hygiene,400 BUILDERS FILM AND ACCESS,111,0.009943269615786687
Garden Zones & Outdoor Pest Hygiene,401 DOOR CHIMES AND SENSORS,102,0.009137058565858037
Garden Zones & Outdoor Pest Hygiene,403 CURTAINS,100,0.008957900554762782
Garden Zones & Outdoor Pest Hygiene,400 COATING AND COMPOUNDS,94,0.008420426521477014
Garden Zones & Outdoor Pest Hygiene,400 BUDGET PAINT,83,0.007435057460453109
Garden Zones & Outdoor Pest Hygiene,402 DOOR TRACK,82,0.007345478454905481
Garden Zones & Outdoor Pest Hygiene,403 INDOOR BLINDS,82,0.007345478454905481
Garden Zones & Outdoor Pest Hygiene,400 WALLPAPER,81,0.007255899449357853
Garden Zones & Outdoor Pest Hygiene,401 VANITY AND CABINETS,81,0.007255899449357853
Garden Zones & Outdoor Pest Hygiene,401 FLOORING TRIM,80,0.007166320443810225
Garden Zones & Outdoor Pest Hygiene,401 TILES AND SHEETING,76,0.006808004421619713
Garden Zones & Outdoor Pest Hygiene,403 INDOOR BLINDS,73,0.0065392674049768295
Garden Zones & Outdoor Pest Hygiene,400 FIBRECEMENT AND ACCESS,64,0.00573305635504818
Pest Control & Home Perimeter Defence,400 CLEANING CHEMICALS,10775,0.9652137847756898
Pest Control & Home Perimeter Defence,400 PAINT PREPARATION,9400,0.8420426521477015
Pest Control & Home Perimeter Defence,400 CLEANING ACCESSORIES,8794,0.787757774785839
Pest Control & Home Perimeter Defence,400 GARDEN PEST CONTROL,8434,0.755509332788693
Pest Control & Home Perimeter Defence,400 GROWING MEDIA,7109,0.6368171504380862
Pest Control & Home Perimeter Defence,400 FLYING PEST CONTROL,5912,0.5295910807975757
Pest Control & Home Perimeter Defence,400 BRUSHWARE AND MOPS,5371,0.481128838796309
Pest Control & Home Perimeter Defence,400 PROPAGATION,5344,0.47871020564652306
Pest Control & Home Perimeter Defence,401 DECORATIVE STORAGE,479,0.04290834365731372
Pest Control & Home Perimeter Defence,401 KEYING,474,0.042460448629575584
Pest Control & Home Perimeter Defence,401 PLASTIC TUBS HEAVY DUTY,443,0.03968349945759912
Pest Control & Home Perimeter Defence,403 DRAPERY FITTINGS,432,0.038698130396575214
Pest Control & Home Perimeter Defence,402 NIGHTLIGHTS,430,0.03851897238547996
Pest Control & Home Perimeter Defence,400 STRIKNG AND WRECKNG TOOLS,426,0.03816065636328945
Pest Control & Home Perimeter Defence,402 WINDOW HARDWARE,407,0.036458655257884526
Pest Control & Home Perimeter Defence,400 VACUUMING,405,0.03627949724678926
Pest Control & Home Perimeter Defence,401 SANITARYWARE,364,0.032606758019336525
Pest Control & Home Perimeter Defence,402 CARPETS,363,0.032517179013788894
Pest Control & Home Perimeter Defence,402 SINKS,334,0.02991938785290769
Pest Control & Home Perimeter Defence,401 CABINET KNOBS AND HANDLES,328,0.029381913819621925
Pest Control & Home Perimeter Defence,400 CEILING LIGHTS,315,0.02821738674750276
Pest Control & Home Perimeter Defence,401 SHOWER SCREENS AND BASES,314,0.028127807741955134
Pest Control & Home Perimeter Defence,401 SITE MANAGEMENT,300,0.026873701664288343
Pest Control & Home Perimeter Defence,401 CRATES,291,0.02606749061435969
Pest Control & Home Perimeter Defence,400 CHILD SAFETY,289,0.025888332603264435
Pest Control & Home Perimeter Defence,401 LADDERS,289,0.025888332603264435
Pest Control & Home Perimeter Defence,401 OUTDOOR PLAY EQUIPMENT,270,0.02418633149785951
Pest Control & Home Perimeter Defence,400 PICNIC AND CAMP ACC,243,0.021767698348073558
Pest Control & Home Perimeter Defence,401 WORKSHOP VAC,235,0.021051066303692537
Pest Control & Home Perimeter Defence,400 PRESSURE CLEANERS,233,0.02087190829259728
Pest Control & Home Perimeter Defence,401 PLUMBING TOOLS,233,0.02087190829259728
Pest Control & Home Perimeter Defence,400 AUTO ACCESSORIES,226,0.020244855253763887
Pest Control & Home Perimeter Defence,400 ORGANISERS,217,0.019438644203835235
Pest Control & Home Perimeter Defence,402 KITCHEN ACCESSORIES,210,0.01881159116500184
Pest Control & Home Perimeter Defence,400 FREESTANDING SHELVING,209,0.018722012159454213
Pest Control & Home Perimeter Defence,401 BARBEQUES,207,0.018542854148358955
Pest Control & Home Perimeter Defence,400 FURNITURE ACCESSORIES,199,0.017826222103977937
Pest Control & Home Perimeter Defence,400 PORTABLE OUTDOOR SEATING,195,0.017467906081787422
Pest Control & Home Perimeter Defence,402 ELECTRICAL COOLING,193,0.017288748070692167
Pest Control & Home Perimeter Defence,401 CUBE STORAGE,192,0.01719916906514454
Pest Control & Home Perimeter Defence,401 LAUNDRY AIDS,189,0.016930432048501656
Pest Control & Home Perimeter Defence,402 TOOLBOXES,184,0.016482537020763518
Pest Control & Home Perimeter Defence,400 SYNTHETIC TURF,177,0.01585548398193012
Pest Control & Home Perimeter Defence,400 FENCE AND TIMBER PAINT,172,0.015407588954191986
Pest Control & Home Perimeter Defence,402 AUTO TOOLS,164,0.014690956909810962
Pest Control & Home Perimeter Defence,400 GROUT AND SEALER,161,0.014422219893168078
Pest Control & Home Perimeter Defence,400 MASONRY TOOLS,158,0.014153482876525195
Pest Control & Home Perimeter Defence,400 LAWN MOWERS,152,0.013616008843239427
Pest Control & Home Perimeter Defence,402 HOME AUTOMATION PRODUCTS,151,0.0135264298376918
Pest Control & Home Perimeter Defence,402 ROOM FURNITURE,150,0.013436850832144171
Pest Control & Home Perimeter Defence,400 WALL SYSTEMS AND HARDWARE,144,0.012899376798858404
Pest Control & Home Perimeter Defence,401 FLOORING ADHESIVE,141,0.012630639782215522
Pest Control & Home Perimeter Defence,400 WALL LIGHTS,124,0.011107796687905848
Pest Control & Home Perimeter Defence,HIRE SHOP CONSUMABLES SDT,124,0.011107796687905848
Pest Control & Home Perimeter Defence,401 TOOLS AND ACCESSORIES,120,0.010749480665715338
Pest Control & Home Perimeter Defence,401 DOOR SECURITY,118,0.010570322654620082
Pest Control & Home Perimeter Defence,403 CURTAINS,110,0.009853690610239059
Pest Control & Home Perimeter Defence,400 KITCHEN TAPS,108,0.009674532599143804
Pest Control & Home Perimeter Defence,400 EXTERIOR WATERPROOFING,102,0.009137058565858037
Pest Control & Home Perimeter Defence,401 DOOR CHIMES AND SENSORS,102,0.009137058565858037
Pest Control & Home Perimeter Defence,401 VANITY AND CABINETS,98,0.008778742543667527
Pest Control & Home Perimeter Defence,402 DOOR TRACK,92,0.008241268510381759
Pest Control & Home Perimeter Defence,400 BUDGET PAINT,83,0.007435057460453109
Pest Control & Home Perimeter Defence,403 INDOOR BLINDS,73,0.0065392674049768295
Power & Utility Tools for Pest Response,400 CLEANING CHEMICALS,10775,0.9652137847756898
Power & Utility Tools for Pest Response,400 PAINT PREPARATION,9400,0.8420426521477015
Power & Utility Tools for Pest Response,400 GARDEN PEST CONTROL,8434,0.755509332788693
Power & Utility Tools for Pest Response,400 CRAWLING PEST CONTROL,8106,0.7261274189690711
Power & Utility Tools for Pest Response,400 GROWING MEDIA,7109,0.6368171504380862
Power & Utility Tools for Pest Response,400 FLYING PEST CONTROL,5912,0.5295910807975757
Power & Utility Tools for Pest Response,401 BATTERIES,5672,0.508092119466145
Power & Utility Tools for Pest Response,400 BRUSHWARE AND MOPS,5371,0.481128838796309
Power & Utility Tools for Pest Response,400 PROPAGATION,5344,0.47871020564652306
Power & Utility Tools for Pest Response,402 WINDOW HARDWARE,388,0.03475665415247959
Power & Utility Tools for Pest Response,400 GRASSES AND STRAPPY LEAF,361,0.03233802100269364
Power & Utility Tools for Pest Response,400 HANGING BASKET,350,0.03135265194166973
Power & Utility Tools for Pest Response,401 CRATES,329,0.029471492825169553
Power & Utility Tools for Pest Response,400 PAVER AND BRICK,305,0.02732159669202648
Power & Utility Tools for Pest Response,401 COMPOSTERS,296,0.026515385642097832
Power & Utility Tools for Pest Response,401 OUTDOOR PLAY EQUIPMENT,275,0.02463422652559765
Power & Utility Tools for Pest Response,400 PRESSURE CLEANERS,233,0.02087190829259728
Power & Utility Tools for Pest Response,401 BARBEQUES,233,0.02087190829259728
Power & Utility Tools for Pest Response,400 BIRD CARE,229,0.02051359227040677
Power & Utility Tools for Pest Response,401 POOL AND SPA,229,0.02051359227040677
Power & Utility Tools for Pest Response,400 FREESTANDING SHELVING,228,0.020424013264859143
Power & Utility Tools for Pest Response,400 ORGANISERS,228,0.020424013264859143
Power & Utility Tools for Pest Response,401 INSECT SCREEN,226,0.020244855253763887
Power & Utility Tools for Pest Response,400 OUTDOOR DECORATIVE,223,0.019976118237121
Power & Utility Tools for Pest Response,400 PICNIC AND CAMP ACC,220,0.019707381220478118
Power & Utility Tools for Pest Response,400 BLOW MOULD AND RESIN,209,0.018722012159454213
Power & Utility Tools for Pest Response,400 FURNITURE ACCESSORIES,199,0.017826222103977937
Power & Utility Tools for Pest Response,402 ELECTRICAL COOLING,193,0.017288748070692167
Power & Utility Tools for Pest Response,400 SYNTHETIC TURF,190,0.017020011054049284
Power & Utility Tools for Pest Response,401 CUBE STORAGE,185,0.016572116026311146
Power & Utility Tools for Pest Response,401 GARDEN TRANSPORT,180,0.016124220998573007
Power & Utility Tools for Pest Response,400 PORTABLE OUTDOOR SEATING,177,0.01585548398193012
Power & Utility Tools for Pest Response,403 RUGS,177,0.01585548398193012
Power & Utility Tools for Pest Response,400 FENCE AND TIMBER PAINT,172,0.015407588954191986
Power & Utility Tools for Pest Response,402 ROOM FURNITURE,166,0.014870114920906218
Power & Utility Tools for Pest Response,401 SHADE CLOTH AND SAILS,165,0.01478053591535859
Power & Utility Tools for Pest Response,401 LAUNDRY AIDS,163,0.014601377904263335
Power & Utility Tools for Pest Response,400 MIX AND MATCH,150,0.013436850832144171
Power & Utility Tools for Pest Response,400 WALL SYSTEMS AND HARDWARE,136,0.012182744754477382
Power & Utility Tools for Pest Response,400 RECREATION SHADE,135,0.012093165748929754
Power & Utility Tools for Pest Response,400 PANELS,128,0.01146611271009636
Power & Utility Tools for Pest Response,400 WATERING SYSTEMS,121,0.010839059671262965
Power & Utility Tools for Pest Response,400 ROSE,115,0.010301585637977199
Power & Utility Tools for Pest Response,400 CLIMBING PLANT,112,0.010032848621334316
Power & Utility Tools for Pest Response,400 GROUNDCOVER PLANT,106,0.009495374588048548
Power & Utility Tools for Pest Response,400 BORDERS HEDGING SCREENING,79,0.007076741438262597
Structural Repair After Rodent Damage,400 PAINT PREPARATION,9400,0.8420426521477015
Structural Repair After Rodent Damage,400 GROWING MEDIA,7109,0.6368171504380862
Structural Repair After Rodent Damage,401 BATTERIES,5672,0.508092119466145
Structural Repair After Rodent Damage,400 BRUSHWARE AND MOPS,5371,0.481128838796309
Structural Repair After Rodent Damage,401 SITE MANAGEMENT,350,0.03135265194166973
Structural Repair After Rodent Damage,401 SOLDERING AND WELDING,318,0.028486123764145645
Structural Repair After Rodent Damage,402 LAMPS,311,0.02785907072531225
Structural Repair After Rodent Damage,401 POOL AND SPA MAINTENANCE,286,0.025619595586621552
Structural Repair After Rodent Damage,400 AUTO ACCESSORIES,226,0.020244855253763887
Structural Repair After Rodent Damage,400 FURNITURE ACCESSORIES,223,0.019976118237121
Structural Repair After Rodent Damage,400 FREESTANDING SHELVING,209,0.018722012159454213
Structural Repair After Rodent Damage,402 TOOLBOXES,204,0.018274117131716075
Structural Repair After Rodent Damage,400 WOODWORKING AND ROTARY,162,0.014511798898715705
Structural Repair After Rodent Damage,400 WATERING SYSTEMS,121,0.010839059671262965
Structural Repair After Rodent Damage,401 DOOR CHIMES AND SENSORS,118,0.010570322654620082
