PRIMARY_ID,SECONDARY_ID,PRIMARY_TRANSACTIONS,SECONDARY_TRANSACTIONS,PAIR_TRANSACTIONS,LIFT,segment
400 PAINT PREPARATION,400 PAVING PAINT,38570,423,20,1.3687691961623307,0
403 AIR TOOLS,400 PAINT PREPARATION,440,38570,21,1.3816791783534073,0
400 PAINT PREPARATION,403 AIR TOOLS,38570,429,21,1.4171068495932382,0
400 PAINT PREPARATION,400 RIVETS,38570,469,23,1.4196967494097348,0
400 RIVETS,400 PAINT PREPARATION,469,38570,23,1.4196967494097348,0
402 VINYL FLOORING,400 PAINT PREPARATION,403,38570,20,1.436698188527707,0
400 PAINT PREPARATION,401 FLOORING TRIM,38570,462,23,1.4412073062189734,0
400 PAINT PREPARATION,402 VINYL FLOORING,38570,389,20,1.4884045500685499,0
400 MULTIFUNCTION TOOL ACCESS,400 PAINT PREPARATION,416,38570,22,1.5309815071498376,0
400 PAINT PREPARATION,400 MULTIFUNCTION TOOL ACCESS,38570,411,22,1.5496065863122443,0
400 PAINT PREPARATION,400 EXTERIOR WATERPROOFING,38570,440,24,1.5790619181181795,0
400 INSULATION,400 PAINT PREPARATION,400,38570,22,1.592220767435831,0
400 PAINT PREPARATION,400 INSULATION,38570,400,22,1.592220767435831,0
400 WALLPAPER,400 PAINT PREPARATION,388,38570,22,1.6414647086967329,0
400 PAINT PREPARATION,400 WALLPAPER,38570,382,22,1.6672468768961584,0
400 BUILDING WRAP,400 PAINT PREPARATION,384,38570,23,1.7339525402947025,0
400 PAINT PREPARATION,400 BUILDING WRAP,38570,366,23,1.8192288947354254,0
401 DOOR FURNITURE,400 PAINT PREPARATION,219,38570,20,2.6437870775190224,0
400 PAINT PREPARATION,401 DOOR FURNITURE,38570,213,20,2.7182599529420934,0
400 CLADDING,400 PAINT PREPARATION,165,38570,21,3.676564923279987,0
400 PAINT PREPARATION,400 CLADDING,38570,163,21,3.72968612561656,0
401 FLOORING TRIM,400 CLEANING CHEMICALS,481,53919,21,0.9041128104723498,1
401 IRONING,400 CLEANING CHEMICALS,465,53919,21,0.9208174268571316,1
400 CLEANING CHEMICALS,401 FLOORING TRIM,53919,462,21,0.941294939041559,1
400 CLEANING CHEMICALS,401 IRONING,53919,461,21,0.9433367935731026,1
401 FLOORING TRIM,400 PAINT PREPARATION,481,38570,23,1.384278119486831,1
400 SURFACE WATER DRAINAGE,401 PEBBLES AND STONE,949,31663,24,0.8918323092171917,2
401 PEBBLES AND STONE,400 SURFACE WATER DRAINAGE,31663,919,24,0.9209454422710716,2
400 CONCRETE SEALERS CLEANERS,400 OUTDOOR PLANTER,329,53366,21,1.3355156402873454,3
400 OUTDOOR PLANTER,400 CONCRETE SEALERS CLEANERS,53366,324,21,1.3561254495510389,3
400 WALL LIGHTS,400 CLEANING ACCESSORIES,588,43980,20,0.8635503769493246,4
400 CLEANING ACCESSORIES,400 WALL LIGHTS,43980,583,20,0.8709564693759911,4
403 CURTAINS,400 CLEANING ACCESSORIES,582,43980,21,0.9160756060627369,4
400 CLEANING ACCESSORIES,403 CURTAINS,43980,576,21,0.9256180602925572,4
400 WALL LIGHTS,400 PAINT PREPARATION,588,38570,21,1.0339095892440462,4
400 EXTERIOR WATERPROOFING,400 CLEANING ACCESSORIES,472,43980,20,1.0757788594199214,4
400 CLEANING ACCESSORIES,400 EXTERIOR WATERPROOFING,43980,440,20,1.1540173219231882,4
400 CLEANING ACCESSORIES,402 APPLIANCES,43980,451,22,1.2384576137712264,4
402 APPLIANCES,400 CLEANING ACCESSORIES,451,43980,22,1.2384576137712264,4
400 EXTERIOR WATERPROOFING,400 PAINT PREPARATION,472,38570,24,1.4720068728220317,4
400 PLANTS OFF RANGE,400 TREE AND SHRUB,554,43408,20,0.9286256771448075,5
400 TREE AND SHRUB,400 PLANTS OFF RANGE,43408,526,20,0.9780582226962421,5
400 LAWNCARE,400 MASONRY TOOLS,43950,677,21,0.7880648917882043,6
400 MASONRY TOOLS,401 GLOVES,697,40171,20,0.7975810154773423,6
401 GLOVES,400 MASONRY TOOLS,40171,677,20,0.8211432315918872,6
400 MASONRY TOOLS,400 PAINT PREPARATION,697,38570,23,0.9552909260734085,6
